timestamp,price,MA7,MA30,daily_change,volatility
2025-09-15,204.1729200676117,204.1729200676117,204.1729200676117,,
2025-09-16,205.4236598852234,204.79828997641755,204.79828997641755,0.6125884946924121,0.8844066065332602
2025-09-17,206.14823792829895,205.24827262704468,205.24827262704468,0.35272375318422533,0.9992700738219396
2025-09-18,205.1907724918213,205.23389759323885,205.23389759323885,-0.46445482440198305,0.8164069777660407
2025-09-19,211.76363550000002,206.53984517459108,206.53984517459108,3.203293660995743,3.0045608150289733
2025-09-22,220.88973089749146,208.9314927950745,208.9314927950745,4.309566831880085,6.4452911956209915
2025-09-23,219.46647751226809,210.43649061181642,210.43649061181642,-0.6443275472520105,7.10445478760175
2025-09-24,217.63781000408937,212.3600463170275,211.33665553585053,-0.8332331793480807,6.947012381165633
2025-09-25,221.57117725817872,214.666834513164,212.47382461610923,1.8072995928489766,6.9408027892466855
2025-09-26,220.3549480512543,216.69636453072903,213.26193695962374,-0.5489112898051984,6.055351123268813
2025-09-29,219.46647751226809,218.73575096222143,213.8259861007732,-0.4031997224675732,3.321266375005806
2025-09-30,219.6390042418213,219.86080363962446,214.3104042791939,0.0786118825566895,1.2602995531820043
2025-10-01,220.3463138176117,219.7831726282131,214.77470501291833,0.3220327729275496,1.2017329567422441
2025-10-02,221.7954567418213,220.1158839467207,215.27618727926853,0.657666061710982,1.4046996359304091
2025-10-03,222.5631401434021,220.81950253805107,215.76198413687746,0.34612223931818065,1.1705942205909559
2025-10-06,221.41591899591066,220.7973227862985,216.11535506556703,-0.5154587353288886,1.1553498093865917
2025-10-07,221.2347843565979,220.92301368706188,216.41649796503944,-0.08180741481198517,1.1470315960366517
2025-10-08,222.59765075408936,221.3703241501792,216.75989534220886,0.6160271773966164,1.0936478728486647
2025-10-09,219.13007144874572,221.29761946545412,216.8846414530792,-1.5577789314472068,1.2356277595926197
2025-10-10,211.56524555534364,220.04318114227294,216.61867165819245,-3.4522080166306535,3.914917340668005
2025-10-13,213.62681361886598,218.8762321247079,216.47620222774836,0.9744360696440912,4.48193371691775
2025-10-14,213.72169805534364,217.61316896927102,216.350997492639,0.04441597703503941,4.515436672287519
2025-10-15,215.07594338113404,216.70745816716004,216.2955603573562,0.6336489641027176,4.253810675327853
